customer_id,first_name,last_name,date_of_birth,email,street_address,city,state,postal_code,signup_date,segment,kyc_status
c00001,Danielle,Garcia,1950-02-02,danielle.garcia1@example.com,71040 Green Cove,Newark,NJ,89031,2018-10-13,Mass Affluent,Approved
c00002,Angel,Jennings,1985-03-29,angel.jennings2@example.com,2621 Matthew Ridges,Phoenix,AZ,15585,2019-08-19,Mass,Approved
c00003,Joshua,Stephens,1955-05-19,joshua.stephens3@example.com,062 Moore Courts Suite 336,Dallas,TX,45776,2017-07-26,Affluent,Approved
c00004,Jeffrey,Levine,1960-10-12,jeffrey.levine4@example.com,443 Brandon Ports Suite 205,Minneapolis,MN,51243,2017-04-28,Mass,Approved
c00005,Jill,Howard,1944-06-29,jill.howard5@example.com,1497 Collin Ford,Chicago,IL,81809,2019-05-14,Mass,Approved
c00006,Erica,Sanders,2004-11-05,erica.sanders6@example.com,417 Kyle Locks,Portland,OR,21612,2022-01-13,Mass Affluent,Approved
c00007,Patricia,Lopez,2000-03-02,patricia.lopez7@example.com,4186 Nathan Light Suite 270,Newark,NJ,49065,2020-03-18,Mass,Approved
c00008,Christopher,Martinez,2002-05-02,christopher.martinez8@example.com,7434 Edward Square Apt. 158,Dallas,TX,23709,2021-08-08,Mass,Approved
c00009,Robert,Charles,1982-11-30,robert.charles9@example.com,380 Cardenas Manor Suite 937,Charlotte,NC,80887,2019-12-22,Mass,Approved
c00010,Anthony,Gibson,1969-05-25,anthony.gibson10@example.com,60898 David Throughway Suite 223,Philadelphia,PA,66905,2018-07-05,Mass,Approved
c00011,Jeffery,Bates,1974-01-18,jeffery.bates11@example.com,06163 Mary Green,Chicago,IL,54706,2022-01-18,Mass,Approved
c00012,William,May,2006-06-18,william.may12@example.com,116 Arnold Walks Suite 870,Portland,OR,45363,2020-12-16,Mass,Approved
c00013,Anthony,Harper,2004-05-17,anthony.harper13@example.com,62299 Sara Port Apt. 485,Houston,TX,23785,2024-08-20,Mass,Approved
